fec_id,state_abbr,first_name,last_name,name,party,inc,tot_rec
H4CA12089,CA,barry,hermanson,barry hermanson,Other,Challenger,8958.83
H6CA12175,CA,preston,picus,preston picus,Independent,Challenger,28479.57
H8CA09060,CA,barbara,lee,barbara lee,Democrat,Incumbent,1328822.47
H6CA13140,CA,suzanne,caro,suzanne caro,Republican,Challenger,4521.0
H8CA12171,CA,jackie,speier,jackie speier,Democrat,Incumbent,874657.21
H6CA14114,CA,angel,cardenas,angel cardenas,Republican,Challenger,4140.06
H2CA15094,CA,eric,swalwell,eric swalwell,Democrat,Incumbent,1986833.43
H6CA15152,CA,danny,turner,danny turner,Republican,Challenger,632.75
H4CA20082,CA,jim,costa,jim costa,Democrat,Incumbent,1759404.4
H2CA16100,CA,johnny,tacherra,johnny tacherra,Republican,Challenger,547428.08
H6CA16135,CA,david,rogers,david rogers,Republican,Challenger,242272.54
H0CA15148,CA,mike,honda,mike honda,Democrat,Incumbent,2996005.94
H4CA12055,CA,rohit,khanna,rohit khanna,Democrat,Challenger,3732538.09
H6CA17166,CA,pierluigi,oliverio,pierluigi oliverio,Democrat,Challenger,3052.0
H6CA17141,CA,ronald,cohen,ronald cohen,Republican,Challenger,4943.0
H6CA17158,CA,peter,kuo,peter kuo,Republican,Challenger,14233.76
H8CA12098,CA,anna,eshoo,anna eshoo,Democrat,Incumbent,1375000.13
H4CA18094,CA,richard,fox,richard fox,Republican,Challenger,26480.93
H4CA16049,CA,zoe,lofgren,zoe lofgren,Democrat,Incumbent,1381139.75
H6CA19121,CA,gordon,lancaster,gordon lancaster,Republican,Challenger,5500.0
H4CA17021,CA,sam,farr,sam farr,Democrat,Incumbent,212350.88
H6CA20152,CA,james,panetta,james panetta,Democrat,Open,1417975.94
H6CA20145,CA,casey,lucius,casey lucius,Republican,Open,420766.94
H6CA21192,CA,daniel,parra,daniel parra,Democrat,Challenger,75652.83
H6CA21200,CA,connie,perez,connie perez,Democrat,Challenger,15272.95
H6CA21218,CA,emilio,huerta,emilio huerta,Democrat,Challenger,774232.31
H2CA20094,CA,david,valadao,david valadao,Republican,Incumbent,2783958.76
H8CA20059,CA,devin,nunes,devin nunes,Republican,Incumbent,2463359.88
H6CA23206,CA,wendy,reed,wendy reed,Democrat,Challenger,40357.4
H6CA22125,CA,kevin,mccarthy,kevin mccarthy,Republican,Incumbent,7824640.59
H6CA23214,CA,gerald,morris,gerald morris,Republican,Challenger,0.0
H6CA23222,CA,ken,mettler,ken mettler,Republican,Challenger,43818.89
H6CA24287,CA,william,ostrander,william ostrander,Democrat,Open,76326.0
H6CA24303,CA,salud,carbajal,salud carbajal,Democrat,Open,3172597.42
H6CA24311,CA,helene,schneider,helene schneider,Democrat,Open,667766.05
H8CA22089,CA,lois,capps,lois capps,Democrat,Incumbent,71293.21
H4CA24142,CA,justin,fareed,justin fareed,Republican,Open,2353070.71
