state_abbr,state,district,fec_id,first_name,last_name,name,party,votes,vote_share,winner
CA,California,5,H6CA05336,carlos,santamaria,carlos santamaria,Republican,67565,0.231314898439185,0
CA,California,6,H6CA05195,doris,matsui,doris matsui,Democrat,177565,0.754270155004184,1
CA,California,6,H6CA06227,robert,evans,robert evans,Republican,57848,0.245729844995816,0
CA,California,7,H0CA03078,ami,bera,ami bera,Democrat,152133,0.511713717747334,1
CA,California,7,H6CA07126,scott,jones,scott jones,Republican,145168,0.488286282252667,0
CA,California,8,H2CA08164,paul,cook,paul cook,Republican,136972,0.622580190630298,1
CA,California,8,H8CA41139,rita,ramirez,rita ramirez,Democrat,83035,0.377419809369702,0
CA,California,9,H4CA11081,jerry,mcnerney,jerry mcnerney,Democrat,133163,0.573595227326571,1
CA,California,9,H0CA11337,antonio,amador,antonio amador,Republican,98992,0.426404772673429,0
CA,California,10,H0CA19173,jeff,denham,jeff denham,Republican,124671,0.51700457408736,1
CA,California,10,H4CA10075,michael,eggman,michael eggman,Democrat,116470,0.48299542591264,0
CA,California,11,H0CA10073,mark,desaulnier,mark desaulnier,Democrat,214868,0.720528220140908,1
CA,California,11,H6CA11169,roger,petersen,roger petersen,Republican,83341,0.279471779859092,0
CA,California,12,H8CA05035,nancy,pelosi,nancy pelosi,Democrat,274035,0.808732606353938,1
CA,California,12,H6CA12175,preston,picus,preston picus,Other,64810,0.191267393646062,0
CA,California,13,H8CA09060,barbara,lee,barbara lee,Democrat,293117,0.907845548222045,1
CA,California,13,H6CA13140,sue,caro,sue caro,Republican,29754,0.0921544517779547,0
CA,California,14,H8CA12171,jackie,speier,jackie speier,Democrat,231630,0.808631265120598,1
CA,California,14,H6CA14114,angel,cardenas,angel cardenas,Other,54817,0.191368734879402,0
CA,California,15,H2CA15094,eric,swalwell,eric swalwell,Democrat,198578,0.737667953208988,1
CA,California,15,H6CA15152,danny,turner,danny turner,Republican,70619,0.262332046791012,0
CA,California,16,H4CA20082,jim,costa,jim costa,Democrat,97473,0.580348424587392,1
CA,California,16,H2CA16100,johnny,tacherra,johnny tacherra,Republican,70483,0.419651575412608,0
CA,California,17,H4CA12055,ro,khanna,ro khanna,Democrat,142268,0.610089539949913,1
