1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
56,AK,Alaska,0,H6AK00243,,"William D. ""Bill""",Hibler,"Hibler, William D. ""Bill""",,D,2918,0.116454483776988,,,,,,,,,,
57,AK,Alaska,0,n/a,,,,,Party Votes:,D,25057,,,,,,,,,,,
58,AK,Alaska,0,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,3960,0.714414576943893,,,31770,0.103083082953166,,,,,,
59,AK,Alaska,0,H6AK00292,,Jon B.,Watts,"Watts, Jon B.",,LIB,1583,0.285585423056107,,,,,,,,,,
60,AK,Alaska,0,n/a,,,,,Party Votes:,LIB,5543,,,,,,,,,,,
61,AK,Alaska,0,H6AK00300,,Bernie,Souphanavong,"Souphanavong, Bernie",,NAF,,,,,9093,0.029503760569504,,,,,,
62,AK,Alaska,0,H6AK00318,,Zachary A.,Kile,"Kile, Zachary A.",,W,,,,,,,,,,,,
63,AK,Alaska,0,H6AK00284,,Stephen,Wright,"Wright, Stephen",,W,,,,,,,,,,,,
64,AK,Alaska,0,n/a,,,Scattered,Scattered,,W,,,,,1228,0.00398445155387121,,,,,,
65,AK,Alaska,0,n/a,,,,,District Votes:,,85128,,,,308198,,,,,,,
66,,,,n/a,,,,,,,,,,,,,,,,,,
67,AK,Alaska,H,n/a,,,,,Total State Votes:,,85128,,,,308198,,,,,,,
68,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,
70,AS,American Samoa,0,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,8923,0.754013858374176,,,,,W,
71,AS,American Samoa,0,H6AS00031,,Vaitinasa Salu,Hunkin-Finau,"Hunkin-Finau, Vaitinasa Salu",,D,,,,,1581,0.133598107148893,,,,,,
72,AS,American Samoa,0,H4AS00069,,Paepaetele Mapu S.,Jamias,"Jamias, Paepaetele Mapu S.",,D,,,,,978,0.0826432313672469,,,,,,
73,AS,American Samoa,0,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",,D,,,,,181,0.01529491296265,,,,,,
74,AS,American Samoa,0,H6AS00049,,Tim,Jones,"Jones, Tim",,IND,,,,,171,0.014449890147034,,,,,,
75,AS,American Samoa,0,n/a,,,,,District Votes:,,,,,,11834,,,,,,,
76,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,11834,,,,,,,
77,AS,American Samoa,0,n/a,,,,,,,,,,,,,,,,,,
78,,,,n/a,,,,,,,,,,,,,,,,,,
79,AZ,Arizona,1,H6AZ01199,,Tom,O'Halleran,"O'Halleran, Tom",,D,30833,0.587687029448204,,,142219,0.506640304941042,,,,,W,
80,AZ,Arizona,1,H6AZ01181 ,,Miguel,Olivas,"Olivas, Miguel",,D,21632,0.412312970551796,,,,,,,,,,
81,AZ,Arizona,1,n/a,,,,,Party Votes:,D,52465,,,,,,,,,,,
82,AZ,Arizona,1,H2AZ04127 ,,Paul,Babeu,"Babeu, Paul",,R,19533,0.308208154506438,,,121745,0.433703822450216,,,,,,
83,AZ,Arizona,1,H4AZ01145 ,,Gary,Kiehne,"Kiehne, Gary",,R,14854,0.234378944710932,,,,,,,,,,
84,AZ,Arizona,1,H2AZ09035 ,,Wendy,Rogers,"Rogers, Wendy",,R,14222,0.22440671547589,,,,,,,,,,
85,AZ,Arizona,1,H6AZ01173,,Ken,Bennett,"Bennett, Ken",,R,10578,0.166908608937137,,,,,,,,,,
86,AZ,Arizona,1,H6AZ01207 ,,Shawn,Redd,"Redd, Shawn",,R,2098,0.033104014137844,,,,,,,,,,
87,AZ,Arizona,1,H6AZ01215,,David,Gowan,"Gowan, David",,R,2091,0.0329935622317597,,,,,,,,,,
88,AZ,Arizona,1,n/a,,,,,Party Votes:,R,63376,,,,,,,,,,,
89,AZ,Arizona,1,H6AZ01264,,Ray,Parrish,"Parrish, Ray",,W(GRE)/GRE,66,1,,,16746,0.0596558726087421,,,,,,
90,AZ,Arizona,1,n/a,,,,,Party Votes:,GRE,66,,,,,,,,,,,
91,AZ,Arizona,1,H2AZ01321,,Kim,Allen,"Allen, Kim",,W(LIB),144,1,,,,,,,,,,
92,AZ,Arizona,1,n/a,,,,,Party Votes:,LIB,144,,,,,,,,,,,
93,,,,n/a,,,,,,,,,,,,,,,,,,
94,AZ,Arizona,1,n/a,,,,,District Votes:,,116051,,,,280710,,,,,,,
95,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
96,AZ,Arizona,2,H2AZ08102 ,(I),Martha,McSally,"McSally, Martha",,R,69378,1,,,179806,0.569584926460107,,,,,W,
97,AZ,Arizona,2,n/a,,,,,Party Votes:,R,69378,,,,,,,,,,,
98,AZ,Arizona,2,H2AZ08078,,Matt,Heinz,"Heinz, Matt",,D,32017,0.527680263700041,,,135873,0.430415073539893,,,,,,
99,AZ,Arizona,2,H6AZ02171,,Victoria,Steele,"Steele, Victoria",,D,28658,0.472319736299959,,,,,,,,,,
100,AZ,Arizona,2,n/a,,,,,Party Votes:,D,60675,,,,,,,,,,,
101,AZ,Arizona,2,H6AZ02213,,Gary,Swing,"Swing, Gary",,W(GRE),38,1,,,,,,,,,,
102,AZ,Arizona,2,n/a,,,,,Party Votes:,GRE,38,,,,,,,,,,,
103,AZ,Arizona,2,H6AZ02205 ,,"Ed, Jr.",Tilton,"Tilton, Ed, Jr.",,W(LIB),164,1,,,,,,,,,,
104,AZ,Arizona,2,n/a,,,,,Party Votes:,LIB,164,,,,,,,,,,,
105,,,,n/a,,,,,,,,,,,,,,,,,,
106,AZ,Arizona,2,n/a,,,,,District Votes:,,130255,,,,315679,,,,,,,
107,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
108,AZ,Arizona,3,H2AZ07070 ,(I),Raúl,Grijalva,"Grijalva, Raúl",,D,35844,1,,,148973,0.986347535339491,,,,,W,
109,AZ,Arizona,3,n/a,,,,,Party Votes:,D,35844,,,,,,,,,,,
110,AZ,Arizona,3,H6AZ03245,,Bill,Abatecola,"Abatecola, Bill",,W,,,,,1303,0.00862713940477373,,,,,,
111,AZ,Arizona,3,H2AZ07161,,Jaime,Vasquez,"Vasquez, Jaime",,W,,,,,332,0.00219816598801602,,,,,,
112,AZ,Arizona,3,H6AZ03211 ,,Harvey,Martin,"Martin, Harvey",,W,,,,,283,0.00187373787532691,,,,,,
113,AZ,Arizona,3,H4AZ03075,,Federico,Sanchez,"Sanchez, Federico",,W,,,,,144,0.000953421392392492,,,,,,
114,AZ,Arizona,3,H6AZ03237 ,,Mike,Ross,"Ross, Mike",,W(LIB),77,1,,,,,,,,,,
115,AZ,Arizona,3,n/a,,,,,Party Votes:,LIB,77,,,,,,,,,,,
116,AZ,Arizona,3,n/a,,,,,District Votes:,,35921,,,,151035,,,,,,,
117,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
118,AZ,Arizona,4,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",,R,64947,0.714189887615738,,,203487,0.714533522015008,,,,,W,
119,AZ,Arizona,4,H6AZ04177 ,,Ray,Strauss,"Strauss, Ray",,R,25991,0.285810112384262,,,,,,,,,,
120,AZ,Arizona,4,n/a,,,,,Party Votes:,R,90938,,,,,,,,,,,
121,AZ,Arizona,4,H2AZ04143 ,,Mikel,Weisser,"Weisser, Mikel",,D,24097,0.99797067837323,,,81296,0.285466477984992,,,,,,
122,AZ,Arizona,4,H6AZ04185 ,,Robert,Hixon,"Hixon, Robert",,W(D),49,0.00202932162677048,,,,,,,,,,
123,AZ,Arizona,4,n/a,,,,,Party Votes:,D,24146,,,,,,,,,,,
124,AZ,Arizona,4,H6AZ04193,,Jeffery,Daniels,"Daniels, Jeffery",,W(LIB),130,1,,,,,,,,,,
125,AZ,Arizona,4,n/a,,,,,Party Votes:,LIB,130,,,,,,,,,,,
126,AZ,Arizona,4,n/a,,,,,District Votes:,,115214,,,,284783,,,,,,,
127,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
128,AZ,Arizona,5,H6AZ05083,,Andy,Biggs,"Biggs, Andy",,R,25244,0.294934105991214,,,205184,0.640951631242893,,,,,W,
129,AZ,Arizona,5,H6AZ05125,,Christine,Jones,"Jones, Christine",,R,25217,0.294618655949154,,,,,,,,,,
130,AZ,Arizona,5,H6AZ05117,,Don,Stapley,"Stapley, Don",,R,17745,0.20732077764277,,,,,,,,,,
131,AZ,Arizona,5,H6AZ05091,,Justin,Olson,"Olson, Justin",,R,17386,0.203126460416861,,,,,,,,,,
132,AZ,Arizona,5,n/a,,,,,Party Votes:,R,85592,,,,,,,,,,,
133,AZ,Arizona,5,H6AZ05133,,Talia,Fuentes,"Fuentes, Talia",,D,16408,0.654461329823302,,,114940,0.359048368757107,,,,,,
134,AZ,Arizona,5,H6AZ05141,,Kinsey,Remaklus,"Remaklus, Kinsey",,D,8663,0.345538670176698,,,,,,,,,,
135,AZ,Arizona,5,n/a,,,,,Party Votes:,D,25071,,,,,,,,,,,
136,AZ,Arizona,5,H6AZ05158 ,,Nolan,Daniels,"Daniels, Nolan",,W(LIB),143,1,,,,,,,,,,
137,AZ,Arizona,5,n/a,,,,,Party Votes:,LIB,143,,,,,,,,,,,
138,AZ,Arizona,5,n/a,,,,,District Votes:,,110806,,,,320124,,,,,,,
139,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
140,AZ,Arizona,6,H4AZ06045 ,(I),David,Schweikert,"Schweikert, David",,R,63378,0.803137632582718,,,201578,0.621302905894392,,,,,W,
141,AZ,Arizona,6,H6AZ06081,,Russ,Wittenberg,"Wittenberg, Russ",,R,15535,0.196862367417282,,,,,,,,,,
142,AZ,Arizona,6,n/a,,,,,Party Votes:,R,78913,,,,,,,,,,,
143,AZ,Arizona,6,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,17561,0.588229382997253,,,122866,0.378697094105608,,,,,,
144,AZ,Arizona,6,H6AZ06057,,Brian,Sinuk,"Sinuk, Brian",,D,12293,0.411770617002747,,,,,,,,,,
145,AZ,Arizona,6,n/a,,,,,Party Votes:,D,29854,,,,,,,,,,,
146,AZ,Arizona,6,H8AZ03134,,Michael,Shoen,"Shoen, Michael",,W(LIB),161,1,,,,,,,,,,
147,AZ,Arizona,6,n/a,,,,,Party Votes:,LIB,161,,,,,,,,,,,
148,AZ,Arizona,6,n/a,,,,,District Votes:,,108928,,,,324444,,,,,,,
149,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
150,AZ,Arizona,7,H4AZ07043,(I),Ruben,Gallego,"Gallego, Ruben",,D,29705,1,,,119465,0.752246380918198,,,,,W,
151,AZ,Arizona,7,n/a,,,,,Party Votes:,D,29705,,,,,,,,,,,
152,AZ,Arizona,7,H6AZ07030 ,,Eve,Nunez,"Nunez, Eve",,R,10912,1,,,39286,0.247375811499203,,,,,,
153,AZ,Arizona,7,n/a,,,,,Party Votes:,R,10912,,,,,,,,,,,
154,AZ,Arizona,7,H6AZ07048,,Neil B.,Westbrooks,"Westbrooks, Neil B.",,W,,,,,60,0.000377807582598183,,,,,,
155,AZ,Arizona,7,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,W(LIB),127,1,,,,,,,,,,
156,AZ,Arizona,7,n/a,,,,,Party Votes:,LIB,127,,,,,,,,,,,
157,AZ,Arizona,7,n/a,,,,,District Votes:,,40744,,,,158811,,,,,,,
158,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
159,AZ,Arizona,8,H4AZ04024 ,(I),Trent,Franks,"Franks, Trent",,R,59042,0.710630205575081,,,204942,0.68549123493583,,,,,W,
160,AZ,Arizona,8,H4AZ08066,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,24042,0.289369794424919,,,,,,,,,,
161,AZ,Arizona,8,n/a,,,,,Party Votes:,R,83084,,,,,,,,,,,
162,AZ,Arizona,8,H2AZ06197,,Mark,Salazar,"Salazar, Mark",,W(GRE)/GRE,27,1,,,93954,0.314257904612822,,,,,,
163,AZ,Arizona,8,n/a,,,,,Party Votes:,GRE,27,,,,,,,,,,,
164,AZ,Arizona,8,H6AZ08194,,Joe,DeVivo,"DeVivo, Joe",,W(D),640,1,,,,,,,,,,
165,AZ,Arizona,8,n/a,,,,,Party Votes:,D,640,,,,,,,,,,,
166,AZ,Arizona,8,H6AZ08202,,"Hayden, III",Keener,"Keener, Hayden, III",,W,,,,,75,0.000250860451348124,,,,,,
